Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21928;"Fish and Fisheries";journal;"14672960, 14672979";3,001;Q1;100;75;211;8669;1613;210;7,17;115,59;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1); Oceanography (Q1)"
2;19900191716;"Reviews in Aquaculture";journal;"17535131, 17535123";2,012;Q1;38;130;98;19386;772;98;7,86;149,12;Australia;Pacific Region;"Blackwell Publishing Asia";"2009-2020";"Aquatic Science (Q1); Ecology (Q1); Management, Monitoring, Policy and Law (Q1)"
3;19723;"Harmful Algae";journal;"15689883";1,966;Q1;84;118;364;9040;1956;357;4,00;76,61;Netherlands;Western Europe;"Elsevier";"2002-2020";"Aquatic Science (Q1); Plant Science (Q1)"
4;29576;"Limnology and Oceanography";journal;"00243590, 19395590";1,910;Q1;189;250;615;18019;2766;605;3,89;72,08;United States;Northern America;"Wiley-Blackwell";"1956-2020";"Aquatic Science (Q1); Oceanography (Q1)"
5;28409;"Progress in Oceanography";journal;"00796611";1,803;Q1;127;180;350;15682;1462;345;4,05;87,12;United Kingdom;Western Europe;"Elsevier Ltd.";"1963-1965, 1969, 1973, 1976-2020";"Aquatic Science (Q1); Geology (Q1)"
6;23366;"Reviews in Fish Biology and Fisheries";journal;"09603166, 15735184";1,741;Q1;93;46;133;5721;565;128;4,60;124,37;Netherlands;Western Europe;"Springer Netherlands";"1991-2020";"Aquatic Science (Q1)"
7;28428;"Journal of Geophysical Research";journal;"01480227, 21562202";1,734;Q1;316;2606;7902;162191;28490;7773;3,50;62,24;United States;Northern America;"Wiley-Blackwell";"1959-1962, 1968-1971, 1973-2020";"Aquatic Science (Q1); Atmospheric Science (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1); Ecology (Q1); Forestry (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Oceanography (Q1); Paleontology (Q1); Soil Science (Q1); Space and Planetary Science (Q1); Water Science and Technology (Q1)"
8;15112;"Freshwater Biology";journal;"13652427, 00465070";1,487;Q1;149;182;446;13280;1806;444;4,03;72,97;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1971-2020";"Aquatic Science (Q1)"
9;29605;"Journal of Experimental Biology";journal;"14779145, 00220949";1,456;Q1;175;669;1897;31277;4637;1537;2,99;46,75;United Kingdom;Western Europe;"Company of Biologists Ltd";"1945-1951, 1962-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1); Medicine (miscellaneous) (Q1); Physiology (Q1); Molecular Biology (Q2)"
10;21100790929;"Frontiers in Marine Science";journal;"22967745";1,420;Q1;38;807;1211;54792;4388;1149;3,71;67,90;Switzerland;Western Europe;"Frontiers Media S.A.";"2014-2020";"Aquatic Science (Q1); Environmental Science (miscellaneous) (Q1); Ocean Engineering (Q1); Oceanography (Q1); Water Science and Technology (Q1); Global and Planetary Change (Q2)"
11;27298;"ICES Journal of Marine Science";journal;"10959289, 10543139";1,417;Q1;111;170;713;9376;2162;672;2,94;55,15;United Kingdom;Western Europe;"Oxford University Press";"1903-1915, 1918, 1920, 1922-1939, 1947-1976, 1978-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Oceanography (Q1)"
12;26825;"Coral Reefs";journal;"07224028, 14320975";1,405;Q1;106;114;394;7121;1182;363;3,31;62,46;Germany;Western Europe;"Springer Verlag";"1982-2020";"Aquatic Science (Q1)"
13;24602;"Aquatic Toxicology";journal;"0166445X, 18791514";1,364;Q1;133;269;833;18720;3835;827;4,59;69,59;Netherlands;Western Europe;"Elsevier";"1981-2020";"Aquatic Science (Q1); Health, Toxicology and Mutagenesis (Q1)"
14;12016;"Canadian Journal of Fisheries and Aquatic Sciences";journal;"0706652X, 12057533";1,320;Q1;148;203;520;12640;1477;512;2,65;62,27;Canada;Northern America;"National Research Council of Canada";"1980-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
15;27851;"Marine Policy";journal;"0308597X";1,295;Q1;86;397;1060;22562;3719;1035;3,47;56,83;United Kingdom;Western Europe;"Elsevier Ltd.";"1977-2020";"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)"
16;24024;"Marine Pollution Bulletin";journal;"0025326X, 18793363";1,270;Q1;162;792;2501;45647;11023;2448;4,34;57,64;United Kingdom;Western Europe;"Elsevier Inc.";"1970-2020";"Aquatic Science (Q1); Oceanography (Q1); Pollution (Q1)"
17;12295;"NIWA Biodiversity Memoirs";book series;"11740043";1,255;Q1;15;0;2;0;5;2;3,00;0,00;New Zealand;Pacific Region;"National Institute of Water and Atmospheric Research";"1998-2003, 2006-2007, 2009-2011, 2013, 2015-2016, 2018";"Aquatic Science (Q1); Oceanography (Q1)"
18;12169;"Marine Ecology - Progress Series";journal;"01718630, 16161599";1,249;Q1;179;380;1248;27758;3204;1223;2,43;73,05;Germany;Western Europe;"Inter-Research";"1985-1988, 1990-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
19;15066;"Fish and Shellfish Immunology";journal;"10959947, 10504648";1,216;Q1;112;1012;1868;56273;7891;1856;4,15;55,61;United States;Northern America;"Academic Press Inc.";"1991-2020";"Aquatic Science (Q1); Environmental Chemistry (Q1); Medicine (miscellaneous) (Q1); Immunology (Q2); Immunology and Microbiology (miscellaneous)  (Q2)"
20;17182;"Aquatic Conservation: Marine and Freshwater Ecosystems";journal;"10990755, 10527613";1,188;Q1;74;238;391;16553;1196;365;2,74;69,55;United States;Northern America;"John Wiley and Sons Ltd";"1991-2020";"Aquatic Science (Q1); Ecology (Q1); Nature and Landscape Conservation (Q1)"
21;21100322090;"Reviews in Fisheries Science and Aquaculture";journal;"23308249, 23308257";1,188;Q1;58;24;74;4331;325;73;3,94;180,46;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1)"
22;26830;"Deep-Sea Research Part I: Oceanographic Research Papers";journal;"09670637";1,158;Q1;117;122;427;8857;1169;419;2,73;72,60;United Kingdom;Western Europe;"Elsevier Ltd.";"1989, 1992-2020";"Aquatic Science (Q1); Oceanography (Q1)"
23;12780;"Fisheries Oceanography";journal;"10546006, 13652419";1,136;Q1;76;51;150;3419;357;145;2,35;67,04;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1992-2020";"Aquatic Science (Q1); Oceanography (Q1)"
24;29421;"Aquaculture, Economics and Management";journal;"13657305, 13657313";1,068;Q1;31;28;71;1180;218;68;3,00;42,14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2020";"Aquatic Science (Q1); Ecology (Q1); Geography, Planning and Development (Q1)"
25;16700154710;"Ecohydrology";journal;"19360584, 19360592";1,067;Q1;49;119;380;8243;1091;368;2,95;69,27;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2009-2020";"Aquatic Science (Q1); Earth-Surface Processes (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
26;29419;"Aquaculture";journal;"00448486";1,037;Q1;164;962;1700;52080;6143;1673;3,48;54,14;Netherlands;Western Europe;"Elsevier";"1972-2020";"Aquatic Science (Q1)"
27;27786;"Journal of Marine Systems";journal;"18791573, 09247963";1,032;Q1;100;94;395;6475;1096;383;2,66;68,88;Netherlands;Western Europe;"Elsevier";"1990-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Oceanography (Q1)"
28;12165;"Marine Biology";journal;"00253162, 14321793";1,025;Q1;114;164;697;11569;1584;664;2,18;70,54;Germany;Western Europe;"Springer Verlag";"1967-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
29;12781;"Fisheries Research";journal;"01657836";1,020;Q1;88;290;880;15834;2044;848;2,28;54,60;Netherlands;Western Europe;"Elsevier";"1981, 1983-2020";"Aquatic Science (Q1)"
30;21100464918;"NeoBiota";journal;"16190033, 13142488";1,012;Q1;15;58;67;3907;226;63;2,86;67,36;Bulgaria;Eastern Europe;"Pensoft Publishers";"2015-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q1); Ecological Modeling (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1); Plant Science (Q1)"
31;19225;"Journal of Phycology";journal;"15298817, 00223646";1,003;Q1;122;130;297;8312;766;263;2,68;63,94;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1965-2020";"Aquatic Science (Q1); Plant Science (Q1)"
32;21100297824;"Freshwater Science";journal;"21619549, 21619565";0,993;Q1;109;85;259;5542;679;254;1,99;65,20;United States;Northern America;"University of Chicago Press";"2012-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
