Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;3600148102;"Alzheimer's and Dementia";journal;"15525279, 15525260";6,012;Q1;107;166;424;7569;5508;394;14,48;45,60;United States;Northern America;"Elsevier Inc.";"2005-2020";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
2;15478;"Journal of Experimental Psychology: General";journal;"00963445, 19392222";2,721;Q1;150;223;376;7602;1523;343;3,52;34,09;United States;Northern America;"American Psychological Association Inc.";"1975-2020";"Developmental Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)"
3;19700177555;"Molecular Autism";journal;"20402392";2,585;Q1;50;53;192;3858;1207;186;6,29;72,79;United Kingdom;Western Europe;"BioMed Central Ltd.";"2010-2020";"Developmental Biology (Q1); Developmental Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
4;19700175115;"Frontiers in Systems Neuroscience";journal;"16625137";2,003;Q1;66;89;273;7725;980;250;3,31;86,80;Switzerland;Western Europe;"Frontiers Media S.A.";"2007-2020";"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Developmental Neuroscience (Q1); Neuroscience (miscellaneous) (Q1)"
5;6000195389;"Developmental Neurobiology";journal;"1932846X, 19328451";1,944;Q1;126;67;272;5381;868;261;3,98;80,31;United States;Northern America;"John Wiley and Sons Inc.";"2007-2020";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1)"
6;15598;"Experimental Neurology";journal;"00144886, 10902430";1,928;Q1;178;217;711;16241;3311;684;4,70;74,84;United States;Northern America;"Academic Press Inc.";"1959-2020";"Developmental Neuroscience (Q1); Neurology (Q1)"
7;18747;"Psychophysiology";journal;"15405958, 00485772, 14698986";1,809;Q1;150;165;517;11310;1993;506;3,85;68,55;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2020";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Developmental Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neuropsychology and Physiological Psychology (Q1); Neuroscience (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1); Biological Psychiatry (Q2)"
8;14987;"Developmental Medicine and Child Neurology";journal;"14698749, 00121622";1,691;Q1;137;325;885;8033;2265;471;4,87;24,72;United States;Northern America;"Wiley-Blackwell";"1958-2020";"Developmental Neuroscience (Q1); Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1)"
9;7000153261;"Neural Development";journal;"17498104";1,675;Q1;49;12;68;1226;179;67;2,72;102,17;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Developmental Neuroscience (Q1)"
10;19900193571;"Fluids and Barriers of the CNS";journal;"20458118";1,448;Q2;43;41;92;2419;378;87;4,58;59,00;United Kingdom;Western Europe;"BioMed Central Ltd.";"2011-2020";"Medicine (miscellaneous) (Q1); Neurology (Q1); Cellular and Molecular Neuroscience (Q2); Developmental Neuroscience (Q2)"
11;21100337505;"Advances in neurobiology";journal;"21905215, 02700794";1,159;Q2;16;31;158;3646;515;11;0,00;117,61;United States;Northern America;"Springer Publishing Company";"2014-2020";"Biochemistry (Q2); Developmental Neuroscience (Q2); Neurology (Q2); Cellular and Molecular Neuroscience (Q3)"
12;14871;"International Journal of Behavioral Development";journal;"01650254, 14640651";1,159;Q2;86;96;205;4577;522;202;2,21;47,68;United States;Northern America;"SAGE Publications Ltd";"1978-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Developmental Neuroscience (Q2)"
13;21100801712;"WSDM 2017 - Proceedings of the 10th ACM International Conference on Web Search and Data Mining";conference and proceedings;"-";1,093;-;20;0;96;0;794;93;8,54;0,00;United States;Northern America;"";"";"Artificial Intelligence; Cognitive Neuroscience; Developmental Neuroscience"
14;15433;"Developmental Neuroscience";journal;"03785866, 14219859";0,962;Q2;78;34;115;2344;330;111;3,13;68,94;Switzerland;Western Europe;"S. Karger AG";"1978-1983, 1985-2020";"Developmental Neuroscience (Q2); Neurology (Q2)"
15;12768;"British Journal of Developmental Psychology";journal;"2044835X, 0261510X";0,926;Q2;71;48;131;2255;248;124;1,55;46,98;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Developmental and Educational Psychology (Q2); Developmental Neuroscience (Q2)"
16;18075;"Neurotoxicology and Teratology";journal;"08920362, 18729738";0,915;Q2;94;41;194;2673;605;183;3,19;65,20;United States;Northern America;"Elsevier Inc.";"1987-2020";"Toxicology (Q1); Developmental Neuroscience (Q2); Cellular and Molecular Neuroscience (Q3)"
17;15741;"Pediatric Neurology";journal;"18735150, 08878994";0,883;Q2;87;203;655;5596;1289;574;2,30;27,57;United States;Northern America;"Elsevier Inc.";"1985-2020";"Pediatrics, Perinatology and Child Health (Q1); Developmental Neuroscience (Q2); Neurology (Q2); Neurology (clinical) (Q2)"
18;14539;"Developmental Psychobiology";journal;"00121630, 10982302";0,864;Q2;89;125;288;9642;643;282;2,12;77,14;United States;Northern America;"John Wiley and Sons Inc.";"1968-2020";"Behavioral Neuroscience (Q2); Developmental and Educational Psychology (Q2); Developmental Biology (Q2); Developmental Neuroscience (Q2)"
19;14323;"Brain, Behavior and Evolution";journal;"14219743, 00068977";0,845;Q2;74;25;125;1784;219;109;2,14;71,36;Switzerland;Western Europe;"S. Karger AG";"1968-2020";"Behavioral Neuroscience (Q2); Developmental Neuroscience (Q2)"
20;16147;"International Journal of Developmental Neuroscience";journal;"07365748, 1873474X";0,832;Q3;84;96;265;6655;581;252;2,04;69,32;United Kingdom;Western Europe;"Elsevier Ltd.";"1983-2020";"Developmental Biology (Q3); Developmental Neuroscience (Q3)"
21;19228;"Restorative Neurology and Neuroscience";journal;"18783627, 09226028";0,771;Q3;73;49;175;3118;436;173;2,41;63,63;Netherlands;Western Europe;"IOS Press";"1989-2020";"Neurology (clinical) (Q2); Developmental Neuroscience (Q3); Neurology (Q3)"
22;17400154834;"Neural Regeneration Research";journal;"18767958, 16735374";0,743;Q3;30;353;1193;14373;2506;941;2,68;40,72;China;Asiatic Region;"Wolters Kluwer Medknow Publications";"2006-2020";"Developmental Neuroscience (Q3)"
23;14182;"NeuroSignals";journal;"14248638, 1424862X";0,732;Q3;65;17;21;471;48;21;3,50;27,71;Switzerland;Western Europe;"Cell Physiol Biochem Press (Germany)";"1992-2019";"Developmental Neuroscience (Q3); Neurology (Q3); Cellular and Molecular Neuroscience (Q4)"
24;21100466871;"Review Journal of Autism and Developmental Disorders";journal;"21957177, 21957185";0,707;Q3;16;41;84;2878;188;80;1,50;70,20;United States;Northern America;"Springer New York";"2014-2020";"Psychiatry and Mental Health (Q2); Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3); Developmental Neuroscience (Q3)"
25;14320;"Brain and Development";journal;"18727131, 03877604";0,691;Q3;81;157;468;3105;712;434;1,56;19,78;Netherlands;Western Europe;"Elsevier";"1979-2020";"Medicine (miscellaneous) (Q2); Neurology (clinical) (Q2); Pediatrics, Perinatology and Child Health (Q2); Developmental Neuroscience (Q3)"
26;21100896922;"Journal of Language Evolution";journal;"2058458X";0,601;Q3;6;0;55;0;54;55;1,18;0,00;United Kingdom;Western Europe;"Oxford University Press";"2016-2018";"Linguistics and Language (Q1); Developmental and Educational Psychology (Q3); Developmental Neuroscience (Q3)"
27;21100782807;"Neurogenesis";journal;"23262133";0,588;Q3;7;0;29;0;42;11;0,00;0,00;United States;Northern America;"Landes Bioscience";"2014-2016";"Developmental Neuroscience (Q3); Developmental Biology (Q4)"
28;19700201695;"Vascular Cell";journal;"2045824X";0,559;Q3;31;0;9;0;16;8;0,50;0,00;United Kingdom;Western Europe;"BioMed Central Ltd.";"2011-2018, 2020";"Computer Networks and Communications (Q2); Developmental Neuroscience (Q3); Neurology (Q3); Cell Biology (Q4)"
29;7100153145;"Developmental Neurorehabilitation";journal;"17518423";0,551;Q4;53;93;163;3878;315;153;2,27;41,70;United Kingdom;Western Europe;"Informa Healthcare";"1997-1999, 2002-2003, 2005-2020";"Medicine (miscellaneous) (Q2); Pediatrics, Perinatology and Child Health (Q2); Rehabilitation (Q2); Developmental Neuroscience (Q4)"
30;21100372434;"Neuroepigenetics";journal;"22147845";0,539;Q4;10;0;11;0;22;11;0,00;0,00;Netherlands;Western Europe;"Elsevier BV";"2015-2017";"Biochemistry (Q3); Biological Psychiatry (Q3); Cognitive Neuroscience (Q3); Cellular and Molecular Neuroscience (Q4); Developmental Neuroscience (Q4)"
31;130017;"Current Neurovascular Research";journal;"15672026";0,512;Q4;52;63;147;2345;225;134;1,65;37,22;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2004-2019";"Neurology (Q3); Cellular and Molecular Neuroscience (Q4); Developmental Neuroscience (Q4)"
32;22507;"Invertebrate Neuroscience";journal;"13542516, 14391104";0,368;Q4;34;13;36;686;30;35;0,69;52,77;Germany;Western Europe;"Springer Verlag";"1995-1999, 2001-2020";"Cellular and Molecular Neuroscience (Q4); Developmental Neuroscience (Q4)"
33;21100810658;"Paladyn";journal;"20814836";0,332;Q4;5;34;38;1629;58;38;1,56;47,91;Germany;Western Europe;"De Gruyter Open Ltd.";"2016-2020";"Artificial Intelligence (Q3); Human-Computer Interaction (Q3); Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Developmental Neuroscience (Q4)"
34;21100244818;"International Journal of Developmental Sciences";journal;"21917485, 2192001X";0,293;Q4;20;7;47;304;33;37;0,85;43,43;Netherlands;Western Europe;"IOS Press";"2007-2020";"Developmental and Educational Psychology (Q3); Social Psychology (Q3); Aging (Q4); Developmental Neuroscience (Q4); Life-span and Life-course Studies (Q4)"
35;11600154151;"NeuroQuantology";journal;"13035150";0,191;Q4;17;94;521;3460;134;517;0,24;36,81;Turkey;Middle East;"";"2007-2020";"Atomic and Molecular Physics, and Optics (Q4); Cognitive Neuroscience (Q4); Developmental Neuroscience (Q4)"
36;21100852105;"Current Regenerative Medicine";journal;"24684244, 24684252";0,109;Q4;1;0;11;0;2;10;0,11;0,00;Netherlands;Western Europe;"Bentham Science Publishers B.V.";"2016-2017";"Cell Biology (Q4); Developmental Biology (Q4); Developmental Neuroscience (Q4)"
37;17600155117;"Devenir";journal;"10158154";0,106;Q4;11;14;57;571;4;51;0,06;40,79;Switzerland;Western Europe;"Editions Medecine et Hygiene";"2001-2019";"Developmental and Educational Psychology (Q4); Developmental Neuroscience (Q4); Life-span and Life-course Studies (Q4); Pediatrics (Q4); Pediatrics, Perinatology and Child Health (Q4)"
