Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;15623;"Human Reproduction Update";journal;"14602369, 13554786";4,478;Q1;169;49;141;5752;1709;124;12,75;117,39;United Kingdom;Western Europe;"Oxford University Press";"1995-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
2;30078;"American Journal of Obstetrics and Gynecology";journal;"00029378, 10976868";3,251;Q1;216;479;1614;14698;7320;1114;6,48;30,68;United States;Northern America;"Mosby Inc.";"1920-2020";"Obstetrics and Gynecology (Q1)"
3;28645;"Ultrasound in Obstetrics and Gynecology";journal;"09607692, 14690705";2,855;Q1;134;295;924;7399;3455;570;6,05;25,08;United States;Northern America;"John Wiley and Sons Ltd";"1991-2020";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Reproductive Medicine (Q1)"
4;27505;"Human Reproduction";journal;"14602350, 02681161";2,491;Q1;218;297;966;8003;5085;820;5,76;26,95;United Kingdom;Western Europe;"Oxford University Press";"1986-2020";"Obstetrics and Gynecology (Q1); Rehabilitation (Q1); Reproductive Medicine (Q1)"
5;27467;"Gynecologic Oncology";journal;"00908258, 10956859";2,463;Q1;157;377;1190;11215;4978;1110;4,30;29,75;United States;Northern America;"Academic Press Inc.";"1972-2020";"Obstetrics and Gynecology (Q1); Oncology (Q1)"
6;28089;"Obstetrics and Gynecology";journal;"00297844, 1873233X";2,362;Q1;210;584;1754;8510;5701;1291;4,37;14,57;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1953-2020";"Obstetrics and Gynecology (Q1)"
7;28122;"Perspectives on Sexual and Reproductive Health";journal;"15386341";2,360;Q1;92;23;103;930;305;81;4,09;40,43;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
8;12705;"Fertility and Sterility";journal;"15565653, 00150282";2,311;Q1;197;449;1377;12403;6005;1042;5,77;27,62;Netherlands;Western Europe;"Elsevier Inc.";"1950-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
9;12549;"BJOG: An International Journal of Obstetrics and Gynaecology";journal;"14700328, 14710528";2,006;Q1;156;437;1624;7227;3193;671;4,40;16,54;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1902-1915, 1921-2020";"Obstetrics and Gynecology (Q1)"
10;30081;"Archives of Disease in Childhood: Fetal and Neonatal Edition";journal;"13592998, 14682052";1,954;Q1;112;184;414;4560;1472;293;5,60;24,78;United Kingdom;Western Europe;"BMJ Publishing Group";"1994-2020";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
11;21100461914;"LGBT Health";journal;"23258306, 23258292";1,704;Q1;27;53;187;2325;720;168;3,85;43,87;United States;Northern America;"Mary Ann Liebert Inc.";"2015-2020";"Dermatology (Q1); Obstetrics and Gynecology (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1); Urology (Q1)"
12;24613;"Contraception";journal;"00107824";1,697;Q1;98;165;539;4087;1380;456;3,00;24,77;United States;Northern America;"Elsevier USA";"1970-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
13;500147005;"Maternal and Child Nutrition";journal;"17408695, 17408709";1,535;Q1;57;186;471;8016;1603;442;2,97;43,10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2020";"Nutrition and Dietetics (Q1); Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
14;27507;"Infectious Diseases in Obstetrics and Gynecology";journal;"10980997, 10647449";1,401;Q1;44;13;49;409;117;47;1,19;31,46;Egypt;Africa/Middle East;"Hindawi Publishing Corporation";"1993-2020";"Dermatology (Q1); Infectious Diseases (Q1); Obstetrics and Gynecology (Q1)"
15;12551;"Best Practice and Research in Clinical Obstetrics and Gynaecology";journal;"15216934";1,364;Q1;79;102;280;5593;1129;257;4,88;54,83;United Kingdom;Western Europe;"Bailliere Tindall Ltd";"1999-2020";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1)"
16;130029;"Journal of Sexual Medicine";journal;"17436095, 17436109";1,316;Q1;108;241;671;8278;2320;533;3,44;34,35;United States;Northern America;"Elsevier Inc.";"2004-2020";"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Urology (Q1)"
17;21100853566;"Journal of Family and Reproductive Health";journal;"17358949, 17359392";1,289;Q1;5;0;7;0;25;7;0,00;0,00;Iran;Middle East;"Tehran University of Medical Sciences";"2015-2016";"Family Practice (Q1); Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
18;19700175016;"Journal of Gynecologic Oncology";journal;"20050399, 20050380";1,282;Q1;32;120;251;2953;748;220;3,31;24,61;South Korea;Asiatic Region;"Korean Society of Gynecologic Oncology and Colposcopy";"2009-2020";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Oncology (Q2)"
