Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100228540;"JAMA Pediatrics";journal;"21686211, 21686203";4,466;Q1;172;459;1133;6830;5245;471;11,25;14,88;United States;Northern America;"American Medical Association";"2013-2020";"Pediatrics, Perinatology and Child Health (Q1)"
2;21100834316;"The Lancet Child and Adolescent Health";journal;"23524642";3,231;Q1;16;243;309;4293;879;88;9,99;17,67;Netherlands;Western Europe;"Elsevier BV";"2017-2020";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
3;15402;"Journal of Child Psychology and Psychiatry and Allied Disciplines";journal;"00219630, 14697610";3,218;Q1;202;176;472;8159;3024;368;8,05;46,36;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1960-2020";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
4;13502;"Developmental Review";journal;"02732297, 10902406";3,083;Q1;88;16;60;2299;443;59;5,22;143,69;United States;Northern America;"Mosby Inc.";"1981-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
5;30047;"Journal of Positive Behavior Interventions";journal;"10983007, 15384772";3,005;Q1;57;23;68;932;256;61;3,15;40,52;United States;Northern America;"SAGE Publications Inc.";"1999-2020";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
6;13900154713;"Child Development Perspectives";journal;"17508606, 17508592";2,932;Q1;64;42;135;1813;800;133;6,05;43,17;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"2008-2020";"Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1); Pediatrics, Perinatology and Child Health (Q1)"
7;24456;"Child Development";journal;"14678624, 00093920";2,880;Q1;243;285;515;17148;2751;491;5,61;60,17;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"1945-1948, 1950-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)"
8;15756;"Pediatrics";journal;"00314005, 10984275";2,772;Q1;331;765;2594;22321;12050;2091;5,20;29,18;United States;Northern America;"American Academy of Pediatrics";"1948-2020";"Pediatrics, Perinatology and Child Health (Q1)"
9;15357;"Journal of Adolescent Health";journal;"1054139X, 18791972";2,105;Q1;153;338;830;10803;3324;675;4,15;31,96;Netherlands;Western Europe;"Elsevier USA";"1991-2020";"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
10;30081;"Archives of Disease in Childhood: Fetal and Neonatal Edition";journal;"13592998, 14682052";1,954;Q1;112;184;414;4560;1472;293;5,60;24,78;United Kingdom;Western Europe;"BMJ Publishing Group";"1994-2020";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
11;12841;"Clinical Child and Family Psychology Review";journal;"15732827, 10964037";1,711;Q1;95;32;73;3280;319;69;3,90;102,50;United States;Northern America;"Kluwer Academic Publishers";"1998-2020";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
12;15721;"Pediatric Diabetes";journal;"13995448, 1399543X";1,697;Q1;70;146;462;4990;1502;448;3,37;34,18;United Kingdom;Western Europe;"Blackwell Munksgaard";"2001-2020";"Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1)"
13;14987;"Developmental Medicine and Child Neurology";journal;"14698749, 00121622";1,691;Q1;137;325;885;8033;2265;471;4,87;24,72;United States;Northern America;"Wiley-Blackwell";"1958-2020";"Developmental Neuroscience (Q1); Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1)"
14;28214;"Seminars in Fetal and Neonatal Medicine";journal;"18780946, 1744165X";1,594;Q1;86;67;198;3796;869;182;4,06;56,66;Netherlands;Western Europe;"W.B. Saunders Ltd";"2004-2020";"Pediatrics, Perinatology and Child Health (Q1)"
