Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;11600153422;"Review of Environmental Economics and Policy";journal;"17506824, 17506816";4,923;Q1;48;23;67;1314;465;59;6,73;57,13;United States;Northern America;"Oxford University Press";"2008-2019";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)"
2;21100861110;"Journal of the Association of Environmental and Resource Economists";journal;"23335963, 23335955";4,310;Q1;16;29;96;1452;471;94;5,32;50,07;United States;Northern America;"University of Chicago Press";"2015-2020";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
3;36483;"Global Environmental Change";journal;"09593780, 18729495";4,304;Q1;162;120;352;9723;3855;345;11,50;81,03;Netherlands;Western Europe;"Elsevier Ltd.";"1990-2020";"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
4;20022;"Economic Policy";journal;"02664658, 14680327";3,916;Q1;71;3;57;164;259;46;5,70;54,67;United Kingdom;Western Europe;"Oxford University Press";"1988-2019";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)"
5;28801;"Applied Energy";journal;"03062619";3,607;Q1;189;1811;5177;102621;53715;5111;10,15;56,67;United Kingdom;Western Europe;"Elsevier BV";"1975-2020";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Nuclear Energy and Engineering (Q1)"
6;21100873499;"Nature Sustainability";journal;"23989629";3,488;Q1;20;230;169;8030;1166;108;10,80;34,91;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2020";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)"
7;21928;"Fish and Fisheries";journal;"14672960, 14672979";3,001;Q1;100;75;211;8669;1613;210;7,17;115,59;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1); Oceanography (Q1)"
8;21100218523;"Ecosystem Services";journal;"22120416";2,672;Q1;56;162;505;11678;3635;462;7,51;72,09;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
9;19696;"International Journal of Project Management";journal;"02637863";2,659;Q1;134;70;334;5958;2839;319;8,87;85,11;United Kingdom;Western Europe;"Elsevier BV";"1983-2020";"Business and International Management (Q1); Management, Monitoring, Policy and Law (Q1); Management of Technology and Innovation (Q1)"
10;23352;"Journal of Environmental Economics and Management";journal;"10960449, 00950696";2,393;Q1;111;93;257;4480;1015;253;3,67;48,17;United States;Northern America;"Academic Press Inc.";"1974-2020";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)"
