Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;6200180159;"World Psychiatry";journal;"17238617";9,239;Q1;81;93;286;2875;2683;85;35,64;30,91;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
2;4600151524;"Annual Review of Clinical Psychology";journal;"15485951, 15485943";7,696;Q1;110;24;63;3061;1145;59;16,03;127,54;United States;Northern America;"Annual Reviews Inc.";"2005-2019";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
3;21100356804;"The Lancet Psychiatry";journal;"22150374, 22150366";6,967;Q1;65;340;995;5924;4606;232;17,42;17,42;United Kingdom;Western Europe;"Elsevier Ltd.";"2014-2020";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
4;21100228547;"JAMA Psychiatry";journal;"21686238, 2168622X";6,847;Q1;352;308;850;7236;6611;383;17,26;23,49;United States;Northern America;"American Medical Association";"2013-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
5;17382;"Molecular Psychiatry";journal;"14765578, 13594184";6,290;Q1;207;381;812;25132;8114;600;13,02;65,96;United Kingdom;Western Europe;"Nature Publishing Group";"1996-2020";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
6;17664;"American Journal of Psychiatry";journal;"0002953X, 15357228";6,071;Q1;344;201;721;5128;4850;383;11,87;25,51;United States;Northern America;"American Psychiatric Association";"1945-2020";"Psychiatry and Mental Health (Q1)"
7;3600148102;"Alzheimer's and Dementia";journal;"15525279, 15525260";6,012;Q1;107;166;424;7569;5508;394;14,48;45,60;United States;Northern America;"Elsevier Inc.";"2005-2020";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
8;12854;"Clinical Psychology Review";journal;"18737811, 02727358";5,281;Q1;194;64;237;7323;3083;232;11,68;114,42;United Kingdom;Western Europe;"Elsevier Inc.";"1981-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
9;15370;"Journal of Abnormal Psychology";journal;"1939843X, 0021843X";3,809;Q1;186;91;280;3456;1945;264;7,61;37,98;United States;Northern America;"American Psychological Association Inc.";"1946-1959, 1963-2020";"Biological Psychiatry (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)"
10;19353;"Schizophrenia Bulletin";journal;"05867614, 17451701";3,604;Q1;181;174;550;7670;3678;485;7,41;44,08;United Kingdom;Western Europe;"Oxford University Press";"1973-2020";"Psychiatry and Mental Health (Q1)"
11;19181;"Psychotherapy and Psychosomatics";journal;"00333190, 14230348";3,530;Q1;92;79;215;2170;1064;86;12,04;27,47;Switzerland;Western Europe;"S. Karger AG";"1953-2020";"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
12;17643;"Journal of the American Academy of Child and Adolescent Psychiatry";journal;"08908567, 15275418";3,318;Q1;233;199;565;5890;2310;291;7,22;29,60;Netherlands;Western Europe;"Elsevier Ltd.";"1962, 1968, 1970, 1973, 1976, 1979, 1981-1984, 1987-2020";"Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)"
13;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330X, 00223050";3,265;Q1;200;263;718;6926;4071;477;8,49;26,33;United Kingdom;Western Europe;"BMJ Publishing Group";"1920-1937, 1945-2020";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
14;19400158464;"Health Psychology Review";journal;"17437202, 17437199";3,259;Q1;45;38;104;3191;753;71;5,53;83,97;United Kingdom;Western Europe;"Routledge";"2007, 2009-2020";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
15;15402;"Journal of Child Psychology and Psychiatry and Allied Disciplines";journal;"00219630, 14697610";3,218;Q1;202;176;472;8159;3024;368;8,05;46,36;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1960-2020";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
16;18017;"Neuropsychopharmacology";journal;"0893133X, 1470634X";3,122;Q1;214;327;958;17020;6024;852;6,40;52,05;United Kingdom;Western Europe;"Nature Publishing Group";"1987-2020";"Pharmacology (Q1); Psychiatry and Mental Health (Q1)"
17;13502;"Developmental Review";journal;"02732297, 10902406";3,083;Q1;88;16;60;2299;443;59;5,22;143,69;United States;Northern America;"Mosby Inc.";"1981-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
18;18742;"Psychological Medicine";journal;"14698978, 00332917";2,903;Q1;201;543;870;30719;5210;781;6,10;56,57;United Kingdom;Western Europe;"Cambridge University Press";"1970-2020";"Applied Psychology (Q1); Psychiatry and Mental Health (Q1)"
19;14364;"British Journal of Psychiatry";journal;"00071250, 14721465";2,873;Q1;219;200;685;3571;2853;444;5,90;17,86;United Kingdom;Western Europe;"Royal College of Psychiatrists";"1963-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
20;19900191866;"Translational Psychiatry";journal;"21583188";2,760;Q1;74;343;882;21746;5372;847;5,72;63,40;United Kingdom;Western Europe;"Nature Publishing Group";"2011-2020";"Biological Psychiatry (Q1); Cellular and Molecular Neuroscience (Q1); Psychiatry and Mental Health (Q1)"
21;24745;"Addiction";journal;"13600443, 09652140";2,745;Q1;182;355;1087;12453;4352;601;6,88;35,08;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993-2020";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
22;21100403234;"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring";journal;"23528729";2,588;Q1;29;91;220;3679;1252;210;5,76;40,43;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
23;19700177555;"Molecular Autism";journal;"20402392";2,585;Q1;50;53;192;3858;1207;186;6,29;72,79;United Kingdom;Western Europe;"BioMed Central Ltd.";"2010-2020";"Developmental Biology (Q1); Developmental Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
