Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19651;"Clinical Microbiology Reviews";journal;"08938512, 10986618";8,664;Q1;263;40;99;9614;2054;95;21,67;240,35;United States;Northern America;"American Society for Microbiology";"1988-2020";"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
2;21100804406;"The Lancet Public Health";journal;"24682667";6,886;Q1;28;171;316;2380;1696;94;17,74;13,92;United Kingdom;Western Europe;"Elsevier Ltd.";"2016-2020";"Public Health, Environmental and Occupational Health (Q1)"
3;19584;"Annual Review of Public Health";journal;"01637525, 15452093";5,656;Q1;137;28;82;3014;1301;80;16,61;107,64;United States;Northern America;"Annual Reviews Inc.";"1980-2019";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
4;21100858657;"The Lancet Planetary Health";journal;"25425196";4,205;Q1;23;146;245;2150;1059;62;17,08;14,73;Netherlands;Western Europe;"Elsevier BV";"2017-2020";"Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
5;29282;"Journal of Occupational Health Psychology";journal;"19391307, 10768998";4,192;Q1;113;58;134;3373;1139;122;9,84;58,16;United States;Northern America;"Educational Publishing Foundation";"1996-2020";"Applied Psychology (Q1); Public Health, Environmental and Occupational Health (Q1)"
6;17148;"Tobacco Control";journal;"09644563, 14683318";3,318;Q1;117;277;518;10279;2761;424;6,46;37,11;United Kingdom;Western Europe;"BMJ Publishing Group";"1996-2020";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
7;13363;"Obesity Reviews";journal;"1467789X, 14677881";3,141;Q1;151;157;379;13296;3073;343;7,60;84,69;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2000-2020";"Endocrinology, Diabetes and Metabolism (Q1); Public Health, Environmental and Occupational Health (Q1)"
8;21872;"Eurosurveillance";journal;"15607917, 1025496X";3,014;Q1;95;281;721;5130;3548;582;5,98;18,26;France;Western Europe;"European Centre for Disease Prevention and Control (ECDC)";"2001-2020";"Epidemiology (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q1)"
9;14166;"Journal of Health Economics";journal;"18791646, 01676296";2,991;Q1;117;79;261;4015;1084;255;3,06;50,82;Netherlands;Western Europe;"Elsevier";"1982-2020";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
10;5700191210;"Implementation Science";journal;"17485908";2,921;Q1;91;111;467;6038;2729;452;5,77;54,40;United Kingdom;Western Europe;"BioMed Central Ltd.";"2006-2020";"Health Informatics (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
