level,source,target,journal
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,BIOENERGY RESEARCH,Bioenergy Research
citation 1,Science Of The Total Environment,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Proceedings Of The Royal Society B-Biological Sciences
citation 1,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 1,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 1,Science Of The Total Environment,JOURNAL OF KING SAUD UNIVERSITY SCIENCE,Journal Of King Saud University Science
citation 1,Science Of The Total Environment,FISH PHYSIOLOGY AND BIOCHEMISTRY,Fish Physiology And Biochemistry
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,INDIAN JOURNAL OF GEO-MARINE SCIENCES,Indian Journal Of Geo-Marine Sciences
citation 1,Science Of The Total Environment,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 1,Science Of The Total Environment,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 1,Science Of The Total Environment,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 1,Science Of The Total Environment,JOURNAL OF CLUSTER SCIENCE,Journal Of Cluster Science
citation 1,Science Of The Total Environment,CHEMOSPHERE,Chemosphere
citation 1,Science Of The Total Environment,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,Analytical And Bioanalytical Chemistry
citation 1,Science Of The Total Environment,JOURNAL OF MOLECULAR LIQUIDS,Journal Of Molecular Liquids
citation 1,Science Of The Total Environment,AQUACULTURE RESEARCH,Aquaculture Research
citation 1,Science Of The Total Environment,ANALYTICAL CHEMISTRY,Analytical Chemistry
citation 1,Science Of The Total Environment,CHEMOSPHERE,Chemosphere
citation 1,Science Of The Total Environment,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 1,Science Of The Total Environment,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 1,Science Of The Total Environment,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 1,Science Of The Total Environment,JOURNAL OF APPLIED TOXICOLOGY,Journal Of Applied Toxicology
citation 1,Science Of The Total Environment,MICROSCOPY RESEARCH AND TECHNIQUE,Microscopy Research And Technique
citation 1,Science Of The Total Environment,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 1,Science Of The Total Environment,FISH PHYSIOLOGY AND BIOCHEMISTRY,Fish Physiology And Biochemistry
citation 1,Science Of The Total Environment,CHEMOSPHERE,Chemosphere
citation 1,Science Of The Total Environment,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 1,Science Of The Total Environment,JOURNAL OF FISH DISEASES,Journal Of Fish Diseases
citation 1,Science Of The Total Environment,BIOLOGY LETTERS,Biology Letters
citation 1,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 1,Science Of The Total Environment,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 1,Science Of The Total Environment,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 1,Science Of The Total Environment,AQUACULTURE INTERNATIONAL,Aquaculture International
citation 1,Science Of The Total Environment,MOLECULAR REPRODUCTION AND DEVELOPMENT,Molecular Reproduction And Development
citation 1,Science Of The Total Environment,MARINE ENVIRONMENTAL RESEARCH,Marine Environmental Research
citation 1,Science Of The Total Environment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,International Journal Of Environmental Research And Public Health
citation 1,Science Of The Total Environment,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 1,Science Of The Total Environment,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 1,Science Of The Total Environment,ECOTOXICOLOGY,Ecotoxicology
citation 1,Science Of The Total Environment,MICROSCOPY RESEARCH AND TECHNIQUE,Microscopy Research And Technique
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,FISH PHYSIOLOGY AND BIOCHEMISTRY,Fish Physiology And Biochemistry
citation 1,Science Of The Total Environment,CHEMOSPHERE,Chemosphere
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 1,Science Of The Total Environment,MARINE ENVIRONMENTAL RESEARCH,Marine Environmental Research
citation 1,Science Of The Total Environment,AQUACULTURE,Aquaculture
citation 1,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 1,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 1,Science Of The Total Environment,CHEMICAL REVIEWS,Chemical Reviews
citation 1,Science Of The Total Environment,CHEMOSPHERE,Chemosphere
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,AQUACULTURE,Aquaculture
citation 1,Science Of The Total Environment,WATER,Water
citation 1,Science Of The Total Environment,CURRENT OPINION IN GREEN AND SUSTAINABLE CHEMISTRY,Current Opinion In Green And Sustainable Chemistry
citation 1,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 1,Science Of The Total Environment,CHEMOSPHERE,Chemosphere
citation 1,Science Of The Total Environment,AQUACULTURE,Aquaculture
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,CARBON DIOXIDE,Carbon Dioxide
citation 1,Science Of The Total Environment,RAPID ANTIBODY-BASED TECHNOLOGIES IN FOOD ANALYSIS,Rapid Antibody-Based Technologies In Food Analysis
citation 1,Science Of The Total Environment,ARCHIVES OF BIOLOGICAL SCIENCES,Archives Of Biological Sciences
citation 1,Science Of The Total Environment,FISH & SHELLFISH IMMUNOLOGY,Fish & Shellfish Immunology
citation 1,Science Of The Total Environment,FISH & SHELLFISH IMMUNOLOGY,Fish & Shellfish Immunology
citation 1,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 1,Science Of The Total Environment,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 1,Science Of The Total Environment,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,Trac-Trends In Analytical Chemistry
citation 1,Science Of The Total Environment,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,Journal Of The Marine Biological Association Of The United Kingdom
citation 1,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 1,Science Of The Total Environment,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 1,Science Of The Total Environment,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 1,Science Of The Total Environment,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 1,Science Of The Total Environment,JOURNAL OF APPLIED ICHTHYOLOGY,Journal Of Applied Ichthyology
citation 1,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 1,Science Of The Total Environment,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,Comparative Biochemistry And Physiology B-Biochemistry & Molecular Biology
